10977949	,10254998	,10049891	,9658467	,10708337	,10067880	,9478306	,12352399	,12675972	,10390172	,10853804	,13748685	,13336956	,14071210	,14513277	,13203347	,12747416	,13272728	,13407388	,13601182	,14981293	,11363455	,7426917	,10451603	,10781085	,11433363	,12680589	,12949159	,10714757	,7308144	,5345911	,9874357	,10119814	,16085394	,16423838	,16691878	,13001852	,3153183	,7488589	,10321026	,15587287	,15769778	,8621198	,11500416	,11703455	,13009293	,11966379	,14189205	,10385812	,11241376	,14461114	,11573673	,14670297	,14080474	,12887987	,12023184	,8150645	,12231605	,14069437	,13864864	,12284808	,10111064	,16424097	,16502520	,12140892	,12227487	,14130599	,13932457	,13677247	,16303552	,15915484	,15520725	,15241126	,8474203	,12097453	,13222092	,14720416	,15185337	,11381679	,10920112	,10580881	,8806784	,11178664	,11052467	,15755653	,15835584	,12673923	,10975379	,11499668	,12617113	,13922441	,15441565	,12944025	,6250092	,14271442	,16179677	,6180446	,5918559	,12883887	,12026525	,11900330	,12433859	,14269120	,15309737	,7752276	,10196136	,12169409	,15575466	,15303060	,12215678	,14183303	,13667478	,15695253	,10721711	,7169404	,7429494	,9600151	,12496573	,12369861	,15173553	,
11304088	,9992599	,8152453	,9137033	,9531529	,10526890	,9286057	,12805473	,12357779	,10905984	,9408413	,12498109	,12817039	,14263967	,13792127	,13664152	,13011097	,13403544	,10585224	,11836845	,15050160	,13008022	,10115438	,11039116	,10977949	,10386071	,12353165	,12620453	,11430526	,11949650	,10314583	,13348791	,13010592	,16611731	,16557472	,16692648	,11755370	,3415585	,6769494	,12299440	,16437716	,15831975	,5407097	,8620189	,10392488	,15234967	,15901089	,16228776	,9724286	,10518169	,14066357	,11705514	,15455448	,14797778	,13741754	,12875666	,7491679	,11902642	,14460084	,13994141	,10908291	,7811132	,16540038	,16489429	,10762317	,11698567	,15507360	,13400207	,10320779	,14333362	,14602191	,15453133	,15570598	,7949914	,10194594	,12887223	,14262959	,14862280	,12700620	,11838129	,11168646	,8282238	,11903412	,12626873	,15297697	,15376571	,14840452	,11436957	,11631766	,12616084	,13927315	,15639462	,10451088	,10194081	,12098222	,11900332	,3881795	,6771817	,9728141	,11173016	,10195366	,12169409	,15577522	,15634852	,6184553	,9543596	,10662590	,15905199	,16223389	,12742541	,12215166	,13611177	,15169667	,10978720	,8153991	,7692155	,9533843	,12495542	,11849934	,14587064	,
12345983	,9532819	,7824770	,8085631	,8873347	,11118513	,10598835	,12744080	,13344688	,13200758	,9273494	,9537180	,11829902	,12682372	,12481920	,14063524	,14329775	,11242387	,10459817	,9681598	,15574447	,15373995	,13133698	,14053249	,11304088	,10123670	,10778516	,11367305	,10970210	,12011587	,11286601	,11357277	,11101051	,15232914	,16557216	,16691878	,10508385	,3283999	,5391691	,11113116	,15054024	,14059682	,6650499	,10592434	,10263209	,16150923	,16492449	,16360102	,9135748	,10188691	,14065843	,12164268	,15389656	,14733784	,14597569	,13994146	,6704474	,12292005	,11107473	,9467025	,8873590	,5070166	,6426667	,8004658	,6440270	,9858417	,15313316	,11887214	,4796213	,7430242	,10260111	,14397884	,15507122	,7629434	,10653090	,13805754	,11771050	,14670040	,14080474	,12887987	,12023184	,8150645	,12103102	,13287883	,14713751	,14529198	,15890308	,12288409	,12157592	,12812950	,14062494	,15837865	,10513801	,11966123	,13674170	,9331072	,3161652	,5918302	,9529993	,9733533	,9607592	,10662590	,15905199	,16223903	,10513791	,9077640	,10919334	,15509419	,14718119	,14327730	,14972821	,14335932	,14837610	,10980261	,9072782	,8742792	,9535640	,12235196	,12441038	,14128043	,
14709122	,9274010	,7498625	,7626620	,8545409	,12629950	,11257531	,13340319	,13681611	,14051694	,8677252	,6247008	,9656935	,8875382	,13675949	,15124429	,14724024	,7700360	,11449025	,7314333	,13341857	,15241896	,15039381	,14453664	,12280447	,9269647	,7886958	,9135206	,12876424	,12141634	,10432321	,9054007	,8926537	,13918334	,16556960	,16559781	,8409180	,3678760	,3490107	,8088942	,14062249	,15041440	,7502472	,11771570	,12166580	,15297947	,16361387	,15507360	,9268872	,10387610	,14922433	,13085628	,16371917	,15722470	,15258068	,14650019	,7424598	,13082547	,13418699	,10393248	,10513800	,8092034	,13939397	,11632025	,15495828	,16557216	,16691878	,10508385	,3217950	,3220775	,7095626	,13662357	,16422318	,9593471	,10452890	,14066357	,11705514	,15455448	,14797778	,13741754	,12875666	,7491679	,12035510	,13947606	,13336956	,14071210	,14513277	,13203347	,12747416	,13404057	,14195617	,15772332	,11496071	,13804213	,14006986	,9069957	,4215383	,6313837	,10124183	,9868195	,9676720	,10926275	,16231083	,16028067	,13135757	,10378608	,8871792	,13603748	,12817064	,14793932	,14974597	,14269880	,14772842	,11046311	,9731994	,8743818	,9208215	,12038073	,12441551	,13866400	,
16280947	,9996704	,8155274	,7692413	,8545666	,13152439	,11390657	,13146537	,13487824	,13395557	,9463425	,10314885	,11559026	,9337215	,16042955	,14534861	,15242668	,7569036	,11638960	,6326155	,12357021	,13203862	,14847913	,12221078	,11232631	,5789560	,5784911	,11769240	,14907023	,12863565	,10499396	,9184823	,8727613	,11293024	,16362405	,15841205	,11307413	,9263727	,5331535	,6515050	,13141405	,13469087	,8945554	,11708089	,13222090	,14909847	,15443876	,14062234	,9203078	,10848411	,13607348	,14137543	,16369344	,15915484	,15520725	,14912675	,10775933	,13090248	,12370118	,10853286	,10711436	,8807295	,11707576	,10451862	,15822994	,16556960	,16690595	,8079958	,3283485	,2759196	,6372161	,12936583	,15964080	,9267592	,10188691	,14065843	,12164268	,15389656	,14733784	,14597569	,13994146	,6704474	,13015983	,14467788	,13406349	,14460832	,13857663	,13729688	,13207450	,13797532	,14261150	,15248559	,13392474	,13608103	,14260399	,8939142	,5004644	,6381425	,9203597	,10522019	,10527922	,9941431	,15639983	,16227247	,15300244	,12477564	,7559275	,12816548	,12226215	,14462401	,13855595	,12627112	,13986154	,11111845	,9009042	,7170428	,8353676	,11838898	,12570571	,13077906	,
15886181	,10582420	,9270160	,8151679	,8547463	,13087415	,11719360	,12490912	,12829374	,13137538	,10518681	,11831200	,12085637	,10519438	,15579845	,14525872	,13732513	,10064549	,10191261	,4946805	,10709635	,12086156	,13406887	,9857920	,6509673	,3750234	,8090230	,14734033	,14068917	,12022658	,7753042	,7946571	,7422537	,9919081	,15713737	,14929619	,14137021	,13469855	,6378074	,11244188	,13405604	,14262965	,11562117	,12495800	,14139331	,12683407	,11373207	,10056072	,10124695	,11700120	,11702176	,12687786	,15778753	,14799059	,14335168	,14321566	,13078432	,15062487	,11123646	,10854833	,10580881	,8806784	,11244457	,10459304	,16150923	,16558755	,16558753	,7490653	,3546917	,3085850	,6241601	,11363461	,12881318	,9466769	,10256026	,14922433	,13085628	,16371917	,15722470	,15258068	,14650019	,7096402	,13471911	,13353934	,14589080	,14719899	,13726339	,14059160	,13472156	,13996962	,14196384	,15114663	,15949932	,13012366	,15106719	,9997475	,5857902	,6969712	,9338007	,11705520	,11973054	,8880268	,13341857	,15307431	,15303327	,11165299	,5196120	,11174040	,11633311	,13082805	,12014156	,10982546	,12085613	,10915750	,7436935	,6582394	,7827075	,10522273	,10663350	,12417654	,
15164771	,10517912	,9528450	,8806008	,9005958	,13282996	,13226951	,12952224	,12633270	,12949162	,13479105	,14068928	,10445433	,11899297	,15905472	,13798820	,13404321	,11246514	,9269391	,4942700	,9529224	,11761299	,12488357	,10320777	,5920625	,6706789	,13415090	,15719132	,15386828	,9930379	,9933729	,8625568	,10516609	,12423328	,16371148	,15722470	,15258068	,14650019	,7096402	,13406887	,12753325	,14791876	,14514067	,14072507	,14841978	,11635873	,9727629	,9989259	,10846876	,10321301	,10383999	,11828116	,15247800	,11903409	,12096938	,14454695	,13474733	,14799828	,12701133	,11838129	,11168646	,8282238	,11903412	,12363445	,15297947	,16427180	,16557472	,6702418	,3745576	,3479580	,7160137	,13662101	,15899314	,8479619	,9664147	,13803699	,14137543	,16369344	,15915484	,15520725	,15241126	,8474203	,12097453	,13288656	,14917020	,15309216	,13134465	,14056594	,13471129	,13998758	,13997477	,14985138	,16020370	,13675683	,15891092	,10721711	,7169404	,7429494	,9600151	,12496573	,12237508	,11371396	,12620959	,13203862	,15045547	,11231869	,7426917	,10451603	,10781085	,11301779	,10437697	,10520459	,11102837	,9999523	,8554386	,9204105	,8810891	,10392228	,10656167	,12084834	,
13986158	,11896469	,11109011	,8873087	,12362672	,14532028	,14795980	,11702690	,15394279	,15913438	,16235212	,9988747	,9793161	,12884910	,15840705	,14580887	,13011099	,11369881	,8021893	,5137513	,8478842	,10514060	,12225697	,10652826	,6903904	,9994894	,15519177	,15391709	,14921660	,7503495	,11449025	,7248282	,12487834	,14396090	,16303039	,15915484	,15520725	,15241126	,8935780	,13349312	,13474479	,13611711	,14516103	,14071732	,14577778	,11439269	,10908041	,13397892	,11304088	,10123670	,10252168	,13071760	,14720434	,10255509	,11373218	,14461114	,11573673	,14670297	,14080474	,12887987	,12023184	,8150645	,12103102	,13287883	,14909847	,15903654	,16555420	,5389123	,3680041	,3480863	,7556443	,13794971	,15899570	,8741247	,9792650	,13735084	,13543098	,16241100	,15458271	,15782354	,15636389	,7752276	,10196136	,12169409	,15575466	,15303060	,12215678	,14117511	,13725064	,13801635	,13406374	,14791618	,15890333	,14139576	,15169667	,10978720	,8153991	,7692155	,9533843	,12495542	,11784142	,12881564	,12425879	,12282763	,13669545	,11826064	,9853036	,11039116	,10977949	,10254998	,10049891	,9658467	,10708337	,10067880	,9478306	,12352399	,12675972	,10653602	,9343647	,11821925	,
13856904	,14588573	,12353686	,7103350	,13810121	,15915480	,6443618	,6115166	,12622257	,16239833	,10317709	,4472132	,9992082	,11241376	,14461114	,11573673	,14277333	,11848636	,14197665	,15643822	,16235951	,16435639	,16429734	,12423566	,8282215	,10523802	,16043212	,14534861	,15242668	,7569036	,11638960	,6326155	,12357021	,13405861	,16042182	,15458272	,15782354	,15702696	,11175565	,15587287	,15769778	,8621198	,11500416	,11703455	,13009293	,11901614	,13788532	,15176875	,12345983	,9860501	,9987713	,11955081	,16094124	,9855361	,10518169	,14066357	,11705514	,15455448	,14797778	,13741754	,12875666	,7491679	,12035510	,13947606	,13599360	,15314596	,16421781	,4010038	,3352362	,3547685	,7818070	,13408431	,15116221	,9462918	,10839429	,14650533	,12425131	,16174542	,14738144	,15918568	,16228276	,5267303	,9543596	,10662590	,15905199	,16223389	,12609416	,9458789	,10968172	,13408164	,12752812	,14858183	,15563930	,14401725	,14837610	,10980261	,9072782	,8742792	,9535640	,12235196	,12441038	,13734309	,13548723	,13134728	,12553893	,12617631	,11952247	,14119041	,11304088	,9992599	,8152453	,9137033	,9662857	,10591911	,9546660	,12936290	,12488339	,11103107	,8490136	,8756387	,
13008530	,14722218	,10978971	,10324895	,12098222	,11900332	,3881795	,6771817	,9268363	,13873089	,8216700	,6114649	,9855361	,10518169	,14066357	,11705514	,15455448	,14535890	,12170426	,8893095	,4421208	,3764557	,4241301	,5673083	,8811637	,11836071	,15908548	,14001589	,13533853	,9606053	,10191518	,4946805	,10709635	,12154516	,15647946	,14672094	,15786726	,16296122	,14204870	,16437716	,15831975	,5407097	,8620189	,10392488	,15234967	,16098980	,16429221	,8146778	,3481633	,2759709	,6372161	,12936583	,15964080	,9267592	,10188691	,14065843	,12164268	,15389656	,14733784	,14597569	,13994146	,6704474	,13015983	,14467788	,13472143	,15115680	,15898016	,4668482	,4273726	,4072745	,7817810	,14909340	,15901882	,9660296	,13401498	,15241128	,13213105	,16236998	,16046555	,16507616	,16556467	,4946544	,8761778	,10926275	,16231083	,16028067	,13266831	,10377582	,8804202	,13406627	,12620456	,14794444	,14974597	,14269880	,14772842	,11046311	,9731994	,8743818	,9208215	,12038073	,12441551	,13800864	,14207698	,14315892	,11438495	,11901870	,14311791	,15308203	,12345983	,9532819	,7890563	,8350342	,11108756	,13802148	,11830421	,10510195	,11826564	,13337486	,10389149	,9141651	,
10911639	,13409710	,13413306	,12555423	,13739702	,9593472	,3489847	,6049631	,9267078	,11509170	,10321301	,10641270	,9267592	,10188691	,14065843	,12164268	,15389656	,14733784	,14597569	,13994144	,8541278	,14581395	,15299194	,10502462	,10645369	,12689327	,15905472	,13798820	,13404321	,11246514	,9269391	,4942700	,9529224	,12025241	,15316672	,15980505	,16178138	,16365250	,14596807	,15054024	,14059682	,6650499	,10592434	,10263209	,16150923	,16558755	,16558753	,7490653	,3546917	,3085850	,6241601	,11363461	,12881318	,9466769	,10256026	,14922433	,13085628	,16371917	,15722470	,15258068	,14650019	,7096402	,13537960	,13745610	,12550787	,12755112	,13738162	,11962249	,11362416	,8143699	,10310763	,15304867	,15639224	,9792650	,13865384	,16556471	,13607350	,16365767	,15650517	,16503251	,15897512	,5408123	,10396337	,9681598	,15639983	,16227247	,15300244	,12477564	,7559275	,12816548	,12226215	,14462401	,13855595	,12627112	,13986154	,11111845	,9009042	,7170428	,8353676	,11838898	,12570571	,13077906	,13814225	,14903911	,10453660	,11112098	,13595529	,15246526	,14709122	,9011864	,8028303	,9936044	,15509160	,15897509	,13201808	,10509167	,9001838	,13471649	,12226213	,11639977	,
11895711	,13669288	,13287628	,14523803	,14460846	,11168644	,7890287	,8086905	,10386840	,11049903	,11769513	,13330309	,9466769	,10256026	,14922433	,13085628	,16371917	,15722470	,15258068	,14650019	,7096402	,13536932	,13215926	,10312285	,10514036	,14003900	,15840705	,14580887	,13011099	,11369881	,8021893	,5137513	,8478842	,11172501	,15314623	,15583953	,14727875	,14524855	,14261681	,14061481	,15041440	,7502472	,11771570	,12166580	,15297947	,16427180	,16557472	,6702418	,3745576	,3479580	,7160137	,13662101	,15899314	,8479619	,9664147	,13803699	,14137543	,16369344	,15915484	,15520725	,15241126	,8935780	,13349312	,15313596	,6251884	,9805226	,10858427	,15510955	,15763610	,12149891	,9590377	,13202824	,14853562	,10518939	,13472681	,16562117	,14858953	,16236745	,14728136	,15054024	,14059682	,6716807	,11449025	,7314333	,13341857	,15307431	,15303327	,11165299	,5196120	,11174040	,11633311	,13082805	,12014156	,10982546	,12085613	,10915750	,7436935	,6582394	,7827075	,10522273	,10663350	,12417654	,13679813	,14903649	,9599893	,8290704	,10385282	,12299944	,16089743	,8295064	,10067115	,9615292	,15639983	,16227247	,15300244	,12477564	,7559275	,12816548	,12226215	,14068927	,
